customerID,gender,InternetService,Contract,tenure,MonthlyCharges,TotalCharges
4676-MQUEA,Male,Fiber optic,One year,50,101.9,5265.5
2091-RFFBA,Female,Fiber optic,Month-to-month,31,73.9,2217.15
2159-TURXX,Male,No,Month-to-month,5,20.05,95.55
7787-BNTZM,Male,No,Month-to-month,6,20.15,130.5
2452-MRMZF,Female,No,Two year,72,25.7,1937.4
1217-VASWC,Male,Fiber optic,One year,43,100.55,4304.0
8878-HMWBV,Male,DSL,Month-to-month,3,49.15,169.05
1492-QGCLU,Male,DSL,Month-to-month,53,85.7,4616.1
7318-EIVKO,Male,DSL,Month-to-month,8,59.25,436.6
2018-PZKMU,Male,Fiber optic,Month-to-month,9,103.1,970.45
9199-PWQVC,Female,DSL,One year,63,79.7,4786.15
7459-RRWQZ,Female,DSL,Month-to-month,15,64.65,994.55
8085-MSNLK,Female,Fiber optic,Two year,62,113.95,6891.4
0481-SUMCB,Female,Fiber optic,One year,45,102.15,4735.35
4698-KVLLG,Female,No,Two year,51,19.6,967.9
4452-QIIEB,Male,DSL,Month-to-month,7,43.9,278.4
2625-TRCZQ,Female,DSL,Month-to-month,51,49.65,2553.35
0380-NEAVX,Male,Fiber optic,One year,34,99.85,3343.15
9489-JMTTN,Female,DSL,Two year,72,89.75,6595.9
5751-USDBL,Male,DSL,Two year,46,81.0,3846.35
7245-JMTTQ,Female,Fiber optic,One year,51,111.5,5703.25
1725-IQNIY,Male,Fiber optic,Two year,54,109.75,6110.2
8409-WQJUX,Female,DSL,One year,25,54.2,1423.15
9796-BPKIW,Male,Fiber optic,Month-to-month,8,69.95,562.7
2761-OCIAX,Male,Fiber optic,Month-to-month,2,74.7,165.4
6952-OMNWB,Male,Fiber optic,Month-to-month,68,80.35,5589.3
5266-PFRQK,Male,No,One year,52,20.85,1071.6
7515-LODFU,Male,No,Two year,69,20.3,1356.3
7767-UXAGJ,Male,DSL,Month-to-month,1,50.45,50.45
2649-HWLYB,Male,DSL,Two year,65,76.15,4929.55
3569-JFODW,Female,DSL,Two year,72,90.95,6652.45
8535-SFUTN,Male,Fiber optic,Month-to-month,61,106.45,6300.15
9821-BESNZ,Male,Fiber optic,One year,66,104.25,6860.6
0191-EQUUH,Female,DSL,Two year,25,35.05,844.45
5795-BKOYE,Female,DSL,One year,69,59.1,4134.7
1470-PSXNM,Male,Fiber optic,One year,49,93.65,4520.15
8417-GSODA,Male,Fiber optic,One year,28,92.2,2568.15
8067-NIOYM,Female,No,Two year,24,21.1,490.65
9150-HEPMB,Male,DSL,One year,56,52.7,3019.7
9290-SHCMB,Female,Fiber optic,Month-to-month,13,96.85,1235.55
2550-QHZGP,Male,No,One year,7,19.5,128.6
9786-YWNHU,Female,DSL,Two year,63,63.55,4014.2
5898-IGSLP,Male,Fiber optic,Month-to-month,31,89.3,2823.0
8033-ATFAS,Female,DSL,Month-to-month,39,59.85,2341.5
1325-USMEC,Male,Fiber optic,Two year,70,99.35,6944.5
9931-DCEZH,Male,DSL,One year,28,54.4,1516.6
2521-NPUZR,Male,Fiber optic,Two year,70,101.0,7085.5
1122-JWTJW,Male,Fiber optic,Month-to-month,1,70.65,70.65
1853-ARAAQ,Female,DSL,Month-to-month,26,50.35,1277.5
1771-OADNZ,Male,Fiber optic,Month-to-month,29,95.9,2745.2
5482-PLVPE,Female,DSL,Month-to-month,2,24.35,41.85
8080-POTJR,Female,DSL,One year,30,79.3,2427.1
9481-IEBZY,Male,Fiber optic,Month-to-month,72,112.9,8061.5
8735-NBLWT,Male,No,Month-to-month,9,20.4,184.1
9782-LGXMC,Female,DSL,Month-to-month,49,61.75,3024.15
5539-HIVAK,Female,No,Month-to-month,28,25.7,734.6
4220-TINQT,Female,Fiber optic,Month-to-month,61,106.35,6751.35
3398-FSHON,Female,Fiber optic,Month-to-month,12,91.3,1094.5
9773-PEQBZ,Male,Fiber optic,Month-to-month,10,79.85,797.25
3635-JBPSG,Female,DSL,Two year,15,38.8,603.0
5057-RKGLH,Female,No,Two year,9,20.35,191.1
9102-IAYHT,Female,Fiber optic,Month-to-month,17,85.45,1451.6
5908-QMGOE,Male,Fiber optic,Month-to-month,15,74.2,1133.9
1143-NMNQJ,Female,Fiber optic,Month-to-month,2,85.7,169.8
5655-JSMZM,Male,Fiber optic,Month-to-month,49,96.2,4718.25
5338-YHWYT,Male,DSL,Two year,37,61.45,2302.35
1725-MIMXW,Male,No,Month-to-month,1,19.45,19.45
1936-CZAKF,Male,DSL,Two year,49,49.65,2409.9
0114-PEGZZ,Female,Fiber optic,Month-to-month,33,107.55,3645.5
8337-UPOAQ,Male,Fiber optic,Month-to-month,10,89.8,914.3
0943-ZQPXH,Male,Fiber optic,Month-to-month,44,92.95,4122.9
4680-KUTAJ,Female,DSL,Month-to-month,11,55.6,580.8
8945-GRKHX,Female,Fiber optic,Month-to-month,1,78.65,78.65
8232-UTFOZ,Male,No,Two year,69,19.95,1399.35
7878-JGDKK,Male,DSL,Month-to-month,4,44.55,220.75
7729-XBTWX,Male,No,Two year,66,19.75,1344.5
8393-JMVMB,Male,No,Month-to-month,1,19.45,19.45
6369-MCAKO,Female,DSL,Two year,68,89.05,6185.8
2530-ENDWQ,Female,Fiber optic,Two year,71,93.7,6585.35
4615-PIVVU,Female,DSL,Two year,42,66.5,2762.75
1121-QSIVB,Female,DSL,One year,44,77.55,3471.1
4881-JVQOD,Male,DSL,Month-to-month,10,34.55,362.6
3566-CAAYU,Female,DSL,Two year,64,49.85,3210.35
9734-YWGEX,Female,Fiber optic,Month-to-month,9,98.3,923.5
2007-QVGAW,Female,No,Two year,68,19.35,1292.65
9750-BOOHV,Female,DSL,One year,32,30.15,927.65
0754-UKWQP,Male,Fiber optic,Month-to-month,2,95.85,197.7
9369-XFEHK,Female,Fiber optic,Month-to-month,33,80.6,2656.5
0771-WLCLA,Female,Fiber optic,Month-to-month,16,112.95,1882.55
7839-NUIAA,Female,DSL,Month-to-month,61,59.8,3641.5
7562-UXTPG,Female,Fiber optic,Month-to-month,13,70.15,886.7
7799-LGRDP,Female,No,Two year,43,25.7,1188.2
2403-BCASL,Male,Fiber optic,One year,41,111.95,4534.9
3318-NMQXL,Male,Fiber optic,Month-to-month,3,92.0,266.8
7426-RHZGU,Male,Fiber optic,Month-to-month,9,95.9,827.45
0932-YIXYU,Female,No,Two year,47,20.25,1029.8
2662-NNTDK,Male,No,One year,65,24.8,1600.95
6732-FZUGP,Female,Fiber optic,One year,47,94.9,4615.25
4718-DHSMV,Female,DSL,Month-to-month,11,35.8,363.15
9124-LHCJQ,Female,Fiber optic,Month-to-month,1,85.45,85.45
0326-VDYXE,Female,Fiber optic,One year,70,97.65,6982.5
2150-WLKUW,Female,DSL,One year,40,63.9,2635.0
9220-CXRSC,Female,DSL,Two year,69,61.4,4059.85
6877-LGWXO,Male,Fiber optic,Month-to-month,18,78.55,1422.65
0264-CNITK,Female,No,Two year,71,20.1,1389.6
3701-SFMUH,Male,DSL,Month-to-month,7,69.7,516.15
8932-CZHRQ,Male,DSL,One year,68,76.75,5233.25
9489-UTFKA,Male,DSL,Month-to-month,8,60.9,551.95
7353-YOWFP,Female,No,One year,7,20.25,129.15
2460-FPSYH,Female,DSL,Month-to-month,40,55.8,2109.35
0795-GMVQO,Male,Fiber optic,One year,67,109.9,7332.4
8999-BOHSE,Female,Fiber optic,Month-to-month,11,89.7,1047.7
9763-GRSKD,Male,DSL,Month-to-month,13,49.95,587.45
1159-WFSGR,Female,No,Month-to-month,16,20.4,321.4
1964-SVLEA,Male,No,One year,20,19.7,415.9
3472-QPRCH,Male,No,Two year,40,25.25,1006.9
2282-YGNOR,Female,DSL,One year,29,58.0,1734.5
8348-JLBUG,Male,Fiber optic,One year,64,80.3,5017.7
1334-PDUKM,Female,Fiber optic,One year,68,86.45,5762.95
8619-IJNDK,Female,DSL,Two year,71,64.05,4492.9
5049-MUBWG,Male,DSL,One year,26,75.0,1908.35
5433-KYGHE,Female,Fiber optic,Month-to-month,14,86.0,1164.05
7398-HPYZQ,Male,DSL,Two year,71,90.55,6404.0
7730-CLDSV,Female,Fiber optic,Two year,72,98.65,7129.45
4804-NCPET,Male,No,Two year,19,20.2,387.4
0432-CAJZV,Male,Fiber optic,Month-to-month,3,90.7,237.65
0285-INHLN,Male,DSL,Month-to-month,27,54.75,1510.3
6347-DCUIK,Male,Fiber optic,Month-to-month,10,74.15,811.8
3365-SAIGS,Female,Fiber optic,Month-to-month,17,83.55,1329.15
4000-VGMQP,Male,DSL,One year,38,78.95,2862.55
7786-WBJYI,Female,Fiber optic,Month-to-month,4,77.95,305.55
