customerID,gender,InternetService,Contract,tenure,MonthlyCharges,TotalCharges
7590-VHVEG,Female,DSL,Month-to-month,1,29.85,29.85
5575-GNVDE,Male,DSL,One year,34,56.95,1889.5
3668-QPYBK,Male,DSL,Month-to-month,2,53.85,108.15
7795-CFOCW,Male,DSL,One year,45,42.3,1840.75
9237-HQITU,Female,Fiber optic,Month-to-month,2,70.7,151.65
9305-CDSKC,Female,Fiber optic,Month-to-month,8,99.65,820.5
1452-KIOVK,Male,Fiber optic,Month-to-month,22,89.1,1949.4
6713-OKOMC,Female,DSL,Month-to-month,10,29.75,301.9
7892-POOKP,Female,Fiber optic,Month-to-month,28,104.8,3046.05
6388-TABGU,Male,DSL,One year,62,56.15,3487.95
9763-GRSKD,Male,DSL,Month-to-month,13,49.95,587.45
7469-LKBCI,Male,No,Two year,16,18.95,326.8
8091-TTVAX,Male,Fiber optic,One year,58,100.35,5681.1
0280-XJGEX,Male,Fiber optic,Month-to-month,49,103.7,5036.3
5129-JLPIS,Male,Fiber optic,Month-to-month,25,105.5,2686.05
3655-SNQYZ,Female,Fiber optic,Two year,69,113.25,7895.15
8191-XWSZG,Female,No,One year,52,20.65,1022.95
9959-WOFKT,Male,Fiber optic,Two year,71,106.7,7382.25
4190-MFLUW,Female,DSL,Month-to-month,10,55.2,528.35
4183-MYFRB,Female,Fiber optic,Month-to-month,21,90.05,1862.9
8779-QRDMV,Male,DSL,Month-to-month,1,39.65,39.65
1680-VDCWW,Male,No,One year,12,19.8,202.25
1066-JKSGK,Male,No,Month-to-month,1,20.15,20.15
3638-WEABW,Female,DSL,Two year,58,59.9,3505.1
6322-HRPFA,Male,DSL,Month-to-month,49,59.6,2970.3
6865-JZNKO,Female,DSL,Month-to-month,30,55.3,1530.6
6467-CHFZW,Male,Fiber optic,Month-to-month,47,99.35,4749.15
8665-UTDHZ,Male,DSL,Month-to-month,1,30.2,30.2
5248-YGIJN,Male,DSL,Two year,72,90.25,6369.45
8773-HHUOZ,Female,DSL,Month-to-month,17,64.7,1093.1
3841-NFECX,Female,Fiber optic,Two year,71,96.35,6766.95
4929-XIHVW,Male,Fiber optic,Month-to-month,2,95.5,181.65
6827-IEAUQ,Female,DSL,One year,27,66.15,1874.45
7310-EGVHZ,Male,No,Month-to-month,1,20.2,20.2
3413-BMNZE,Male,DSL,Month-to-month,1,45.25,45.25
6234-RAAPL,Female,Fiber optic,Two year,72,99.9,7251.7
6047-YHPVI,Male,Fiber optic,Month-to-month,5,69.7,316.9
6572-ADKRS,Female,Fiber optic,Month-to-month,46,74.8,3548.3
5380-WJKOV,Male,Fiber optic,Month-to-month,34,106.35,3549.25
8168-UQWWF,Female,Fiber optic,Month-to-month,11,97.85,1105.4
8865-TNMNX,Male,DSL,One year,10,49.55,475.7
9489-DEDVP,Female,DSL,Two year,70,69.2,4872.35
9867-JCZSP,Female,No,One year,17,20.75,418.25
4671-VJLCL,Female,DSL,Two year,63,79.85,4861.45
4080-IIARD,Female,DSL,Month-to-month,13,76.2,981.45
3714-NTNFO,Female,Fiber optic,Month-to-month,49,84.5,3906.7
5948-UJZLF,Male,DSL,Month-to-month,2,49.25,97.0
7760-OYPDY,Female,Fiber optic,Month-to-month,2,80.65,144.15
7639-LIAYI,Male,DSL,Two year,52,79.75,4217.8
2954-PIBKO,Female,DSL,Two year,69,64.15,4254.1
8012-SOUDQ,Female,Fiber optic,Month-to-month,43,90.25,3838.75
9420-LOJKX,Female,Fiber optic,Month-to-month,15,99.1,1426.4
6575-SUVOI,Female,DSL,Month-to-month,25,69.5,1752.65
7495-OOKFY,Female,Fiber optic,Month-to-month,8,80.65,633.3
4667-QONEA,Female,DSL,One year,60,74.85,4456.35
1658-BYGOY,Male,Fiber optic,Month-to-month,18,95.45,1752.55
8769-KKTPH,Female,Fiber optic,One year,63,99.65,6311.2
5067-XJQFU,Male,Fiber optic,One year,66,108.45,7076.35
3957-SQXML,Female,No,Two year,34,24.95,894.3
5954-BDFSG,Female,Fiber optic,Two year,72,107.5,7853.7
0434-CSFON,Female,Fiber optic,Month-to-month,47,100.5,4707.1
1215-FIGMP,Male,Fiber optic,Month-to-month,60,89.9,5450.7
0526-SXDJP,Male,DSL,Two year,72,42.1,2962.0
0557-ASKVU,Female,DSL,One year,18,54.4,957.1
5698-BQJOH,Female,Fiber optic,Month-to-month,9,94.4,857.25
5122-CYFXA,Female,DSL,Month-to-month,3,75.3,244.1
8627-ZYGSZ,Male,Fiber optic,One year,47,78.9,3650.35
3410-YOQBQ,Female,DSL,Two year,31,79.2,2497.2
3170-NMYVV,Female,No,Two year,50,20.15,930.9
7410-OIEDU,Male,Fiber optic,Month-to-month,10,79.85,887.35
2273-QCKXA,Male,DSL,Month-to-month,1,49.05,49.05
0731-EBJQB,Female,No,One year,52,20.4,1090.65
1891-QRQSA,Male,Fiber optic,Two year,64,111.6,7099.0
8028-PNXHQ,Male,No,Two year,62,24.25,1424.6
5630-AHZIL,Female,DSL,Month-to-month,3,64.5,177.4
2673-CXQEU,Female,Fiber optic,One year,56,110.5,6139.5
6416-JNVRK,Female,DSL,One year,46,55.65,2688.85
5590-ZSKRV,Female,DSL,Month-to-month,8,54.65,482.25
0191-ZHSKZ,Male,DSL,Month-to-month,30,74.75,2111.3
3887-PBQAO,Female,No,One year,45,25.9,1216.6
5919-TMRGD,Female,Fiber optic,Month-to-month,1,79.35,79.35
8108-UXRQN,Female,DSL,Month-to-month,11,50.55,565.35
9191-MYQKX,Female,Fiber optic,Month-to-month,7,75.15,496.9
9919-YLNNG,Female,Fiber optic,Month-to-month,42,103.8,4327.5
0318-ZOPWS,Female,No,Two year,49,20.15,973.35
4445-ZJNMU,Male,Fiber optic,Month-to-month,9,99.3,918.75
4808-YNLEU,Female,DSL,One year,35,62.15,2215.45
1862-QRWPE,Female,No,Two year,48,20.65,1057.0
2796-NNUFI,Female,No,Two year,46,19.95,927.1
3016-KSVCP,Male,DSL,Month-to-month,29,33.75,1009.25
4767-HZZHQ,Male,Fiber optic,Month-to-month,30,82.05,2570.2
2424-WVHPL,Male,Fiber optic,Month-to-month,1,74.7,74.7
7233-PAHHL,Male,DSL,Two year,66,84.0,5714.25
6067-NGCEU,Female,Fiber optic,Month-to-month,65,111.05,7107.0
9848-JQJTX,Male,Fiber optic,Two year,72,100.9,7459.05
8637-XJIVR,Female,Fiber optic,Month-to-month,12,78.95,927.35
9803-FTJCG,Male,DSL,One year,71,66.85,4748.7
0278-YXOOG,Male,No,Month-to-month,5,21.05,113.85
3212-KXOCR,Male,No,Two year,52,21.0,1107.2
4598-XLKNJ,Female,Fiber optic,Month-to-month,25,98.5,2514.5
6380-ARCEH,Male,No,Month-to-month,1,20.2,20.2
3679-XASPY,Female,No,Month-to-month,1,19.45,19.45
7123-WQUHX,Male,Fiber optic,One year,38,95.0,3605.6
5386-THSLQ,Female,DSL,One year,66,45.55,3027.25
3192-NQECA,Male,Fiber optic,Two year,68,110.0,7611.85
